combo,Grade,universal_sch_id,tract,school_address,school_name,obs,duration
3Wilson HS,9,463,3,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,12.131945
6Wilson HS,9,463,6,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,6.5227275
7.0100002Wilson HS,9,463,7.0100002,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,7.7690477
8.0100002Wilson HS,9,463,8.0100002,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,9.25
10.01School Without Walls HS,9,466,10.01,"2130 G St. NW Washington, DC 20037",School Without Walls HS,6,21.021053
10.01Wilson HS,9,463,10.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,31,5.4929824
11Wilson HS,9,463,11,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,14,4.1007938
12Wilson HS,9,463,12,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,22,3.0537038
13.01Wilson HS,9,463,13.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,4.5444446
13.02Wilson HS,9,463,13.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,7.6999998
14.01Wilson HS,9,463,14.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,11,6.0555553
14.02Wilson HS,9,463,14.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,12,4.8545456
15Wilson HS,9,463,15,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,23,8.3660917
16Wilson HS,9,463,16,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,17,13.289855
18.030001Columbia Heights EC (CHEC),9,442,18.030001,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),9,9.7597218
18.030001Paul PCS - International High School,9,138 222 227,18.030001,"5800 8TH STREET NW, Washington, District of Columbia 20011",Paul PCS - International High School,6,5.5805554
18.040001Cardozo EC,9,454,18.040001,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,7,15.279366
18.040001Columbia Heights EC (CHEC),9,442,18.040001,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),17,10.962698
18.040001Paul PCS - International High School,9,138 222 227,18.040001,"5800 8TH STREET NW, Washington, District of Columbia 20011",Paul PCS - International High School,12,3.8230159
18.040001Coolidge HS,9,455,18.040001,"6315 5th St. NW Washington, DC 20011",Coolidge HS,12,4.9468255
19.01Coolidge HS,9,455,19.01,"6315 5th St. NW Washington, DC 20011",Coolidge HS,13,2.0977011
20.02Columbia Heights EC (CHEC),9,442,20.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),10,8.0384617
20.02Wilson HS,9,463,20.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,11.725
20.02Roosevelt HS @ MacFarland,9,459,20.02,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,9,4.26859
21.01Capital City PCS - High School,9,108 1207 159,21.01,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - High School,11,5.4317203
21.01Columbia Heights EC (CHEC),9,442,21.01,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),12,10.859139
21.01Wilson HS,9,463,21.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,9,12.941936
21.01Roosevelt HS @ MacFarland,9,459,21.01,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,27,5.9370966
21.01E.L. Haynes PCS - High School,9,116 1138 185,21.01,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,12,3.6112905
21.01Paul PCS - International High School,9,138 222 227,21.01,"5800 8TH STREET NW, Washington, District of Columbia 20011",Paul PCS - International High School,12,2.9005377
21.02Capital City PCS - High School,9,108 1207 159,21.02,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - High School,6,3.5161905
21.02Columbia Heights EC (CHEC),9,442,21.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),12,13.22
21.02Roosevelt HS @ MacFarland,9,459,21.02,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,11,6.8671427
21.02Coolidge HS,9,455,21.02,"6315 5th St. NW Washington, DC 20011",Coolidge HS,9,4.6633334
22.01Roosevelt HS @ MacFarland,9,459,22.01,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,12,3.9286666
22.01E.L. Haynes PCS - High School,9,116 1138 185,22.01,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,8,1.744
22.01Paul PCS - International High School,9,138 222 227,22.01,"5800 8TH STREET NW, Washington, District of Columbia 20011",Paul PCS - International High School,8,5.3639998
22.02Columbia Heights EC (CHEC),9,442,22.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),8,11.989682
22.02Roosevelt HS @ MacFarland,9,459,22.02,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,14,5.3261905
22.02Coolidge HS,9,455,22.02,"6315 5th St. NW Washington, DC 20011",Coolidge HS,7,6.9111109
24Columbia Heights EC (CHEC),9,442,24,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),6,9.9381943
25.01Columbia Heights EC (CHEC),9,442,25.01,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),10,6.3266668
25.01Wilson HS,9,463,25.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,9,12.504444
25.01Roosevelt HS @ MacFarland,9,459,25.01,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,7,4.2211113
25.02Capital City PCS - High School,9,108 1207 159,25.02,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - High School,8,10.748148
25.02Cardozo EC,9,454,25.02,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,13,8.3555555
25.02Columbia Heights EC (CHEC),9,442,25.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),17,6.8861113
25.02Wilson HS,9,463,25.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,14.675926
25.02E.L. Haynes PCS - High School,9,116 1138 185,25.02,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,7,4.2249999
25.02Benjamin Banneker HS,9,402,25.02,"800 Euclid St. NW Washington, DC 20001",Benjamin Banneker HS,6,8.1990738
26Wilson HS,9,463,26,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,12,9.8761902
27.01Wilson HS,9,463,27.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,13,11.754545
27.02Columbia Heights EC (CHEC),9,442,27.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),9,2.2541666
27.02Wilson HS,9,463,27.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,14,12.39375
28.01Cardozo EC,9,454,28.01,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,7,8.6816664
28.01Columbia Heights EC (CHEC),9,442,28.01,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),14,4.5633335
28.01Wilson HS,9,463,28.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,7,13.565
28.02Cardozo EC,9,454,28.02,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,8,7.0924239
28.02Columbia Heights EC (CHEC),9,442,28.02,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),22,3.060606
28.02E.L. Haynes PCS - High School,9,116 1138 185,28.02,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,6,9.348485
29Cardozo EC,9,454,29,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,18,6.6731482
29Columbia Heights EC (CHEC),9,442,29,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),7,6.4888887
30Cardozo EC,9,454,30,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,10,4.4000001
31Cardozo EC,9,454,31,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,8,5.3141026
31Columbia Heights EC (CHEC),9,442,31,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),6,6.7666669
31Cesar Chavez PCS for Public Policy - Chavez Prep,9,109 127 170,31,"770 KENYON STREET NW, Washington, District of Columbia 20010",Cesar Chavez PCS for Public Policy - Chavez Prep,8,2.7230771
32Capital City PCS - High School,9,108 1207 159,32,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - High School,6,10.985
32Cardozo EC,9,454,32,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,16,8.0391665
32Columbia Heights EC (CHEC),9,442,32,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),10,9.3549995
32E.L. Haynes PCS - High School,9,116 1138 185,32,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,10,6.2133336
35Cardozo EC,9,454,35,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,11,4.0619049
36Cardozo EC,9,454,36,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,10,2.340909
37Cardozo EC,9,454,37,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,16,4.0102563
37Columbia Heights EC (CHEC),9,442,37,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),12,4.1371794
38Wilson HS,9,463,38,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,9,14.801852
46Dunbar HS,9,467,46,"101 N St. NW Washington, DC 20001",Dunbar HS,11,3.3545454
47.009998Dunbar HS,9,467,47.009998,"101 N St. NW Washington, DC 20001",Dunbar HS,14,4.492857
48.02Dunbar HS,9,467,48.02,"101 N St. NW Washington, DC 20001",Dunbar HS,9,3.25
50.02Cesar Chavez PCS for Public Policy - Chavez Prep,9,109 127 170,50.02,"770 KENYON STREET NW, Washington, District of Columbia 20010",Cesar Chavez PCS for Public Policy - Chavez Prep,7,11.531482
64Eastern HS,9,457,64,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,10,12.684524
64Wilson HS,9,463,64,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,17,28.707144
68.010002Eastern HS,9,457,68.010002,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,11,1.7954545
68.019997Eastern HS,9,457,68.019997,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,13,3.4846153
71Eastern HS,9,457,71,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,18,7.382143
73.040001Anacostia HS,9,450,73.040001,"1601 16th St. SE Washington, DC 20020",Anacostia HS,8,12.14
73.040001Thurgood Marshall Academy PCS,9,146 191 240,73.040001,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,8,7.8141665
73.040001Ballou HS,9,452,73.040001,"3401 4th St. SE Washington, DC 20032",Ballou HS,20,5.0983334
74.010002Anacostia HS,9,450,74.010002,"1601 16th St. SE Washington, DC 20020",Anacostia HS,18,8.4433336
74.010002Thurgood Marshall Academy PCS,9,146 191 240,74.010002,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,7,3.3266666
74.010002Ballou HS,9,452,74.010002,"3401 4th St. SE Washington, DC 20032",Ballou HS,11,6.9349999
74.040001Eastern HS,9,457,74.040001,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,7,13.169697
74.040001Thurgood Marshall Academy PCS,9,146 191 240,74.040001,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,7,6.7030301
74.040001Ballou HS,9,452,74.040001,"3401 4th St. SE Washington, DC 20032",Ballou HS,14,6.973485
74.040001Friendship PCS - Technology Preparatory Middle School,9,120 1124 198,74.040001,"620 MILWAUKEE PLACE SE, Washington, District of Columbia 20032",Friendship PCS - Technology Preparatory Middle School,6,7.3636365
74.059998KIPP DC - College Preparatory Academy PCS,9,129 1123 210,74.059998,"1405 BRENTWOOD PARKWAY NE, Washington, District of Columbia 20002",KIPP DC - College Preparatory Academy PCS,14,21.200001
74.059998Anacostia HS,9,450,74.059998,"1601 16th St. SE Washington, DC 20020",Anacostia HS,22,8.1111116
74.059998Ballou HS,9,452,74.059998,"3401 4th St. SE Washington, DC 20032",Ballou HS,7,10.072222
74.059998National Collegiate Preparatory PCHS,9,163 1120 226,74.059998,"4600 LIVINGSTON ROAD SE, Washington, District of Columbia 20032",National Collegiate Preparatory PCHS,6,14.1
74.07Anacostia HS,9,450,74.07,"1601 16th St. SE Washington, DC 20020",Anacostia HS,17,6.7078433
74.07Thurgood Marshall Academy PCS,9,146 191 240,74.07,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,7,3.4352942
74.080002Anacostia HS,9,450,74.080002,"1601 16th St. SE Washington, DC 20020",Anacostia HS,18,8.2861109
74.080002Friendship PCS - Collegiate Academy,9,120 186 195,74.080002,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,7,14.183333
74.080002National Collegiate Preparatory PCHS,9,163 1120 226,74.080002,"4600 LIVINGSTON ROAD SE, Washington, District of Columbia 20032",National Collegiate Preparatory PCHS,6,12.665277
74.089996Anacostia HS,9,450,74.089996,"1601 16th St. SE Washington, DC 20020",Anacostia HS,10,10.502381
74.089996Ballou HS,9,452,74.089996,"3401 4th St. SE Washington, DC 20032",Ballou HS,14,7.5880952
75.019997Anacostia HS,9,450,75.019997,"1601 16th St. SE Washington, DC 20020",Anacostia HS,29,7.007143
75.019997Thurgood Marshall Academy PCS,9,146 191 240,75.019997,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,6,8.6750002
75.019997Ballou HS,9,452,75.019997,"3401 4th St. SE Washington, DC 20032",Ballou HS,6,9.9297619
75.019997Friendship PCS - Collegiate Academy,9,120 186 195,75.019997,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,7,14.091666
75.019997Cesar Chavez PCS for Public Policy - Capitol Hill,9,109 153 169,75.019997,"709 12TH STREET SE, Washington, District of Columbia 20003",Cesar Chavez PCS for Public Policy - Capitol Hill,6,11.809524
75.019997Richard Wright PCS for Journalism and Media Arts,9,167 3067 230,75.019997,"770 M STREET SE, Washington, District of Columbia 20003",Richard Wright PCS for Journalism and Media Arts,6,10.922619
75.019997Benjamin Banneker HS,9,402,75.019997,"800 Euclid St. NW Washington, DC 20001",Benjamin Banneker HS,6,25.988096
75.029999Anacostia HS,9,450,75.029999,"1601 16th St. SE Washington, DC 20020",Anacostia HS,18,3.9622223
75.029999Ballou HS,9,452,75.029999,"3401 4th St. SE Washington, DC 20032",Ballou HS,6,9.6077776
75.040001Anacostia HS,9,450,75.040001,"1601 16th St. SE Washington, DC 20020",Anacostia HS,24,4.272222
76.010002Anacostia HS,9,450,76.010002,"1601 16th St. SE Washington, DC 20020",Anacostia HS,19,2.2520833
76.010002Cesar Chavez PCS for Public Policy - Capitol Hill,9,109 153 169,76.010002,"709 12TH STREET SE, Washington, District of Columbia 20003",Cesar Chavez PCS for Public Policy - Capitol Hill,6,7.5635419
76.029999Anacostia HS,9,450,76.029999,"1601 16th St. SE Washington, DC 20020",Anacostia HS,6,8.9779997
76.040001Anacostia HS,9,450,76.040001,"1601 16th St. SE Washington, DC 20020",Anacostia HS,6,5.5153332
76.050003Anacostia HS,9,450,76.050003,"1601 16th St. SE Washington, DC 20020",Anacostia HS,21,2.8447917
76.050003Thurgood Marshall Academy PCS,9,146 191 240,76.050003,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,7,6.1083331
77.029999McKinley Technology HS,9,458,77.029999,"151 T St. NE Washington, DC 20002",McKinley Technology HS,7,20.953787
77.029999Anacostia HS,9,450,77.029999,"1601 16th St. SE Washington, DC 20020",Anacostia HS,20,10.826515
77.029999Eastern HS,9,457,77.029999,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,12,6.7265153
77.029999Cesar Chavez PCS for Public Policy - Parkside High School,9,109 109 171,77.029999,"3701 HAYES STREET NE, Washington, District of Columbia 20019",Cesar Chavez PCS for Public Policy - Parkside High School,9,10.807576
77.029999Friendship PCS - Collegiate Academy,9,120 186 195,77.029999,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,13,7.1628785
77.07KIPP DC - College Preparatory Academy PCS,9,129 1123 210,77.07,"1405 BRENTWOOD PARKWAY NE, Washington, District of Columbia 20002",KIPP DC - College Preparatory Academy PCS,9,18.870138
77.07Anacostia HS,9,450,77.07,"1601 16th St. SE Washington, DC 20020",Anacostia HS,8,12.713889
77.07Eastern HS,9,457,77.07,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,11,9.7513885
77.07Friendship PCS - Collegiate Academy,9,120 186 195,77.07,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,10,10.01875
"77.07Woodson, H.D. HS",9,464,77.07,"540 55th St. NE Washington, DC 20019","Woodson, H.D. HS",6,9.2194443
77.07Maya Angelou PCS - High School,9,133 101 221,77.07,"5600 EAST CAPITOL STREET NE, Washington, District of Columbia 20019",Maya Angelou PCS - High School,6,7.2111111
77.080002Anacostia HS,9,450,77.080002,"1601 16th St. SE Washington, DC 20020",Anacostia HS,12,8.8986111
77.080002Friendship PCS - Collegiate Academy,9,120 186 195,77.080002,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,6,6.813889
78.029999Eastern HS,9,457,78.029999,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,8,7.6709876
78.029999Friendship PCS - Collegiate Academy,9,120 186 195,78.029999,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,6,3.541358
"78.029999Woodson, H.D. HS",9,464,78.029999,"540 55th St. NE Washington, DC 20019","Woodson, H.D. HS",10,5.2382717
78.040001Friendship PCS - Collegiate Academy,9,120 186 195,78.040001,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,7,5.3625002
"78.040001Woodson, H.D. HS",9,464,78.040001,"540 55th St. NE Washington, DC 20019","Woodson, H.D. HS",18,3.2194445
78.040001Maya Angelou PCS - High School,9,133 101 221,78.040001,"5600 EAST CAPITOL STREET NE, Washington, District of Columbia 20019",Maya Angelou PCS - High School,9,5.2743053
78.059998IDEA PCS,9,126 163 204,78.059998,"1027 45TH STREET NE, Washington, District of Columbia 20019",IDEA PCS,6,2.2541666
